Video name,Our GT caption,Style Change Caption,Object Change Caption,Background Change Caption,Multiple Changes Caption,Source
DAVIS Videos:,,,,,,
gold-fish,Several goldfish swim in a tank.,"Several goldfish swim in a tank, impressionist style.",Several sharks swim in a tank.,Several goldfish swim in a pond.,"Several koi fish swim in a pond, rainbow color scheme.",
drift-turn,A car drifts on a racetrack.,"A car drifts on a racetrack, neon lights.",A tuk tuk drifts on a racetrack.,A car drifts on a snowy road.,"A truck drifts on a muddy off-road track, sepia-toned.",
lindy-hop,Several people lindy hop dance in a school gym.,"Several people lindy hop dance in a school gym, sepia-toned photo.",Several people breakdance in a school gym.,Several people lindy hop dance in a fancy marble ballroom.,"Several people breakdance in a marble ballroom, neon lights style.",
miami-surf,Several people ride surfboards in the ocean.,Several people ride motorcycles in the pink ocean.,Several people ride boogie boards on a concrete skate park.,Several people ride surfboards in a wave pool.,"Several people ride kayaks in a river, aerial view.",
bmx-rider,A person does a trick on a BMX bike at a skatepark.,"A person does a trick on a BMX bike at a skatepark, grayscale.",A person does a trick on a unicycle at a skatepark.,A person does a trick on a BMX bike at a snow covered park in Antarctica.,"A person does a trick on a skateboard at a beach skate park, vintage style.",
dog-competition,Dog jumps over a bar.,"Dog jumps over a bar, high-contrast style.",Rabbit jumps over a bar.,Dog jumps over a bar in outer space.,"Kangaroo jumps over a bar in a park, black and white.",
hurdles-race,Women jump over hurdles on a racetrack.,"Women jump over hurdles on a racetrack, Claymation style.",Men jump over hurdles on a racetrack.,Women jump over hurdles under a flying saucer.,"Teddy bears jump over hurdles on a racetrack, vibrant colors.",
ice-hockey,People play hockey on an ice rink.,"People play hockey on an ice rink, brightly colored cyberpunk style.",Cartoon characters play hockey on an ice rink.,People play hockey on the cracked mud floor of the Mojave desert.,"People play broomball on an ice rink, nighttime lighting.",
judo,Two people perform judo on a tatami mat.,"Two people perform judo on a tatami mat, vintage style.",Two tabby cats perform judo on a tatami mat.,Two people perform judo in the Grand Canyon.,Two people perform jiu-jitsu in the Grand Canyon vintage style.,
juggling-selfie,A man juggles in the street.,A robotic man juggles in the street.,A man juggles watermelons in the street.,A man juggles in Times Square.,"A robotic man juggles in Times Square, split-toning effect.",
loading,Two men load a box onto a cart inside a store.,"Two men load a box onto a cart inside a store, security camera view.",Two men load a giant GPU onto a cart inside a store.,Two men load a box onto a cart on a snow covered road.,Two women load a giant GPU onto a cart on a snow-covered road.,
mbike-trick,A person on a motorcycle does a burnout on the road.,"A person on a motorcycle does a burnout on the road, neon color style.",A person on a bicycle does a wheelie on the road.,A person on a motorcycle does a burnout on a frozen lake.,"A person on a scooter does a burnout on a frozen lake, sepia tone.",
stunt,A man does a trick with a scooter at a skatepark.,"A man does a trick with a scooter at a skatepark, vermeer painting style.",A man does a trick with a skateboard at a skatepark.,A man does a trick with a scooter in a wooded field.,"A woman does a trick with a scooter at a skatepark, vermeer painting style.",
swimmer,A man dives into a pool with tall buildings in the background.,"A man dives into a pool with tall buildings in the background, silhouette style.",A furry rabbit dives into a pool with tall buildings in the background.,A man dives into a lake in a natural setting.,"A furry rabbit jumps into a pool with tall buildings in the background, vibrant colors.",
trucks-race,Trucks drive on a racetrack.,"Trucks drive on a racetrack, autumn, fall colors.",Wooden trucks drive on a racetrack.,Trucks drive on a wooden kitchen table.,"Monster trucks race on a dirt track, autumn, fall colors.",
varanus-cage,A varanus lizard walks on a log.,"A varanus lizard walks on a log, oil painting.",A rainbow colored squirrel walks on a log.,A varanus lizard walks on an Arizona rock.,"A rainbow colored squirrel walks on an Arizona rock, oil painting.",
,,,,,,
Youtube Videos:,,,,,,
basketball-players-scoring,Two basketball players coordinate with each other and score.,"Two basketball players coordinate with each other and score, vintage style.",Two basketball players coordinate with each other shoot a teddy bear toy into the basket.,Two basketball players coordinate in a street game.,"Two basketball players coordinate in a beach game, black and white.",https://www.youtube.com/watch?v=cQXr4n90bDU
basketball-shot,Tap Nixon shooting a basketball while another man helps him.,"Tap Nixon shooting a basketball while another man helps him, claymation style",Tap Nixon shooting a rocket while another man helps him.,Tap Nixon shooting a basketball on Mars.,"Tap Nixon shooting a basketball while a woman helps him, high-contrast style.",https://www.youtube.com/watch?v=3YgKRByS6y4
squirrel-climb,The squirrel is climbing down a tree in a wooded park.  ,"The squirrel is climbing down a tree in a wooded park, Van Gogh style.",The cute yellow leopard is climbing down a tree in a wooded park.  ,The squirrel is climbing down a tree in a forest of cherry blossoms.,"The squirrel is climbing up a tree in a wooded park, soft-focus style.",https://www.youtube.com/watch?v=8N4n_mhyOok
airbrush-painting,Man airbrush painting a horse on a wall.,"Man airbrush painting a horse on a wall, very realistic.",Man airbrush painting a turtle on a wall.,Man airbrush painting a horse on a car.,"Man airbrush painting a turtle on a wall, very realistic.",https://www.youtube.com/watch?v=rV6Ik-fjtIc
cat-dog-play,A cat and a dog playing on the street while a girl walks around them.,"A cat and a dog playing on the street while a girl walks around them, soft focus style.",A beaver and a skunk playing in the street while a girl walks around them.,A cat and a dog playing on the grass while a girl walks around them.,"A cat and a dog playing on the beach while a girl walks around them, golden hour lighting.",https://www.youtube.com/watch?v=b-2YIy5aQfA
street-instrument,Woman street artist plays an musical instrument.,"Woman street artist plays a musical instrument, iron man style.",Woman street artist sings a song.,Woman plays a musical instrument indoors.,"Woman street artist plays a musical instrument indoors, iron man style.",https://www.youtube.com/watch?v=sArh5Yy2sy0
dirt-road-driving,A car driving on the dirt road.,"A car driving on the dirt road, dust cloud effect.",A monster truck driving on the dirt road.,A car driving on a birthday cake,"A spaceship driving on the dirt road during a rainy day, dramatic sky.",https://www.youtube.com/watch?v=-tVocObQZ1c
circus-ball-act,"Circus man shows a round transparent ball, walking before the audience.","Circus man shows a round transparent ball, walking before the audience, spotlight effect.","Circus man juggles balls, walking before the audience.",Circus man performs with a transparent ball in a field of orange poppy flowers.,"Circus panda bear shows a round transparent ball, walking before the audience, claymation style.",https://www.youtube.com/watch?v=cU5vJ6SaBxg
audi-snow-trail,An Audi Q7 goes on a snow trail.,"An Audi Q7 goes on a snow trail, anime style.",A BMW X5 goes on a snow trail,An Audi Q7 goes on a desert trail.,"An Audi Q7 goes on a snow trail, aerial view with snow-capped mountains in the background.",https://www.youtube.com/watch?v=7QbJZ6HYTfc
horse-jump-canter,A horse canters through an obstacle.,"A horse canters through an obstacle, flat design, vector art. ",A horse canters through a dense field of cacti.,A horse canters through an obstacle on Mars.,An astronaut rides a horse on Mars.,https://www.youtube.com/watch?v=c85OR2VEhyA
mallard-duck-flight,Mallard ducks flying over a fence from a lake.,"Mallard ducks flying over a fence from a lake, sunset scenery.",Lawn darts flying over a fence from a lake.,Mallard ducks flying over Times Square.,Tiny airplanes flying over scenery from Tron.,https://www.youtube.com/watch?v=l6i8W42pWYM
daytime-crowd,"People walking in a busy street, daytime.","People walking in a busy street, daytime, minecraft style.","People riding bicycles in a busy street, daytime.","People walking in antarctica snow wilderness, daytime.","People walking in an underground cavern, artificial lighting, black and white.",https://www.youtube.com/watch?v=6NBwbKMyzEE
kitesurfing-fall,A person falls while kitesurfing in the water.,A person falls while kitesurfing in the water at night.,A person falls while kitesurfing in the water,A person falls while kitesurfing in a vat of cake frosting.,A person falls while skateboarding in the Grand Canyon.,https://www.youtube.com/watch?v=9b6dZ6cpCj4
wetsuit-surfing,Man wearing wet suit surfing on the ocean.,"Man wearing wet suit surfing on the ocean, golden hour lighting.",Man wearing wet suit bodyboarding on the ocean.,Man wearing wet suit surfing on a mudslide.,"Woman wearing wet suit surfing against the ocean, silhouette style.",https://www.youtube.com/watch?v=RCV9YrRP4a0
salsa,Eric Jones Santana & Ivana Ariel dancing salsa among people on the dance floor.,"Eric Jones Santana & Ivana Ariel dancing salsa among people on the dance floor, soft lighting.",A panda bear and a dolphin dancing salsa among people on the dance floor.,Eric Jones Santana & Ivana Ariel dancing salsa among people on the roof of a skyscraper with city lights in the background.,"Eric Jones Santana & Ivana Ariel dancing salsa among people on the roof of a skyscraper with city lights in the background, vintage style.",https://www.youtube.com/watch?v=BBo-U_ROAn8
eiffel-flyover,"Drone flyover of the Eiffel Tower in front of the city, sunset.","Drone flyover of the Eiffel Tower in front of the city, sunset.","Drone flyover of the Space Needle in front of the city, 3D animation style.",Drone flyover of the Eiffel Tower in front of a large fireworks display.,"Drone flyover of the Canadian National Tower, surrounded by martian desert.",https://www.youtube.com/watch?v=2UI1s06pbSk
cricket-bat-practice,"In a field, a player practices cricket batting while other men watch.","In a field, a player practices cricket batting while other men watch, anime style.","In a field, a player practices cricket batting while several dogs watch.","On the moon, a player practices cricket batting while other men watch.","On the moon, a player practices cricket batting while several dogs watch.",https://www.youtube.com/watch?v=AGfAoxpqEFs
triple-check-knit,A person weaves in front of a wooden table.,"A person weaves in front of a wooden table, oil painting",A person weaves a fancy shoe,A person weaves in front of a cozy fireplace,"A person shows weaves in front of a pile of dirty laundry, harsh lighting",https://www.youtube.com/watch?v=y3eYxOVpZZQ
volleyball,A woman practices hitting a volleyball by a gym wall.,"A woman practices hitting a volleyball by a gym wall, subdued color palette.",A woman practices hitting a firecracker by a gym wall.,A woman practices hitting a volleyball in a wooded setting.,A woman practices hitting a firecracker in a natural setting.,https://www.youtube.com/watch?v=y9hB1H6WBec
weightlifting-sofa,A woman lifts weights near a sofa.,A woman lifts weights near a sofa made of stained glass. ,A man lifts weights near a sofa.,A woman lifts weights with the San Francisco skyline in the background.,A woman lifts a car tire with the San Francisco skyline in the background.,https://www.youtube.com/watch?v=pNCb7Ahj8PA
ski-follow,The camera follows a woman skiing down a snow covered mountain.,"The camera follows a woman skiing down a snow covered mountain, origami style.",The camera follows a polar bear skiing down a snow covered mountain.,The camera follows a woman skiing down a tropical river.,The camera follows a polar bear skiing down a tropical river.,https://www.youtube.com/watch?v=sc1twdIqx28
tighten-screws,A man is tightening a screw on a bike.,A man is loosening a screw on a bike.,A man is tightening a screw on a skateboard.,A man is tightening a screw on a bike under the illumination of a flashlight at night.,"A man is tightening a screw on a bike, surrounded by tools and spare parts.	",https://www.youtube.com/watch?v=Bm8P_ZxscXU
eating-pizza,A women is eating a pizza with various toppings.,A woman is eating a pizza with single kind of toppings.,A woman is eating a sandwich with various toppings.,A woman is eating a pizza with various toppings at a park.,A man is eating a pizza with various toppings at night.	,https://www.youtube.com/watch?v=T_EdewgUHAY
,,,,,,
Videvo Videos:,,,,,,
las-vegas-time-lapse,A mesmerizing time-lapse showcasing iconic architectures amidst the cityscape of Las Vegas in night.,A mesmerizing time-lapse showcasing iconic architectures amidst the cityscape of Las Vegas in day.,A mesmerizing time-lapse showcasing natural landscapes amidst the cityscape of Las Vegas in night.,A mesmerizing time-lapse showcasing iconic architectures amidst the cityscape of New York in night.,"A mesmerizing time-lapse showcasing iconic architectures amidst the cityscape of Las Vegas in night, transitioning to day.",https://www.videvo.net/video/las-vegas-time-lapse-cc-by-natureclip/2182/
warsaw-multimedia-fountain,A fountain at the Multimedia Fountain Park.,A fountain on top of a beautiful rectangular birthday cake.,A waterfall at a park.,A fountain in front of a lush hillside of cherry blossoms.,"A fountain on top of a beautiful rectangular birthday cake, daytime, very hot day.",https://www.videvo.net/video/warsaw-multimedia-fountain-3/4141/
kettleball-training,A man does kettlebell exercises in front of an orange sky.,"A man does kettlebell exercises, 2D vector animation.",A woman does kettlebell exercises in front of an orange sky.,A man does kettlebell exercises in front of a 1950s diner.,A woman does kettlebell exercises in front of a 1950s diner.,https://www.videvo.net/video/kettlebell-training/463643/
geometric-video-background,An array of 3D buildings with a rotating perspective change.,"An array of 3D buildings, photorealistic, detailed.",An array of 3D vehicles with a rotating perspective change.,An array of 3D buildings with mountains in the background.,"An array of 3D buildings with mountains in the background, photorealistic, detailed.",https://www.videvo.net/video/geometric-video-background/4745/
typewriter-super-slow-motion,An extreme close up of typebars of a typewriter reacting to key presses in super slow motion.,"An extreme close up of typebars of a typewriter reacting to key presses, made out of solid gold.",An extreme close up of piano keys reacting to key presses in super slow motion.,An extreme close up of computer keyboard keys reacting to key presses in super slow motion.,"An extreme close up of piano keys reacting to key presses in super slow motion, with dramatic lighting.",https://www.videvo.net/video/typewriter-in-super-slow-motion/2877/
shopping-entertainment-center,People ride an escalator in the shopping and entertainment center.,People ride an escalator in an outdoor shopping and entertainment center on a bright sunny day.,Cardboard boxes ride an escalator in the shopping and entertainment center.,People ride an escalator surrounded by desolate martian landscape.,Cardboard boxes ride an escalator surrounded by desolate martian landscape.,https://www.videvo.net/video/shopping-and-entertainment-centre/2595/
surfer-on-wave,A man is surfing inside the barrel of a wave.,A woman wearing a cowboy hat is surfing inside the barrel of a wave.,A man is dancing on a wave.,A man is surfing on a wave made of aurora borealis.,A woman is surfing inside the barrel of a wave during a sunset.,https://www.videvo.net/video/surfer-on-wave/3915/
basketball-mall,A man dunks a basketball.,"A man dunks a basketball, robotic style.",A man dunks a giant apple.,A man dunks a basketball with a wildflower field in the background.,A woman wearing traditional Indian clothing dunks a beach ball.,https://www.videvo.net/video/basketball-in-a-mall-2/2806/
raindrops,Rain falling on a stone pathway in super slow motion.,"Rain falling on a stone pathway, expressionism style.",Snow falling on a stone pathway in super slow motion.,Rain falling on a pink grass lawn in super slow motion.,"Snow falling on a fantasy landscape in super slow motion, with dramatic lighting.",https://www.videvo.net/video/raindrops-in-super-slow-motion/3313/
lotus,A beautiful lotus in river water on a rainy day.,A beautiful lotus in river water on a sunny day.,A beautiful poppy flower in river water on a rainy day.,A beautiful lotus with New York City in the background on a rainy day.,"A beautiful lotus with New York City in the background on a rainy day, with a foggy background",https://www.videvo.net/video/a-beautyful-lotus-in-river-water/607793/
earth-full-view,Full view of the Earth as it moves slowly toward the sun.,"Full view of the Earth, made out of chocolate, as it moves slowly toward the sun.",Full view of Mars as it moves slowly toward the sun.,Full view of the Earth as it moves slowly through a fireworks display.,"Full view of the Mars as it moves slowly toward the sun, with fireworks in the background.",https://www.videvo.net/video/earth-full-view/2997/
setting-sun,The sun setting with clouds moving around it.,"The sun setting with clouds moving around it, 2D vector animation.",A flying saucer moving with clouds moving around it.,The sun setting with a clear sky.,"The moon setting with clouds moving around it, reflecting on a flooded road.",https://www.videvo.net/video/setting-sun/4111/
cat-in-the-sun,A cat in the grass in the sun.,A cat in the grass on a rainy day.,A dog in the grass in the sun.,A cat on a beach in the sun.,"A red lion in the grass in the sun, surrounded by butterflies.        ",https://www.videvo.net/video/cat-in-the-sun/4278/
swans,Swans gliding over a lake.,"Swans gliding over a lake, misty morning.",Pink flamengos gliding over a lake.,Swans gliding underwater near a coral reef.,"Pink flamengos gliding over a lake, with a sunset in the background.",https://www.videvo.net/video/swans-on-a-lake/5357/
red-roses-sunny-day,"A static shot of red roses in sunlight, gently swaying in the breeze.","A static shot of red roses in sunlight, gently swaying in the breeze, origami style.","A static shot of rainbow roses in sunlight, gently swaying in the breeze.","A static shot of red roses in moonlight, gently swaying in the breeze.","A static shot of rainbow roses in sunlight, with butterflies flying around them.",https://www.videvo.net/video/red-roses-on-a-sunny-day/1802/
singapore-airbus-a380-landing,A Singapore Airlines Airbus A380 landing on a sunny morning.,"A Singapore Airlines Airbus A380 landing on a sunny morning, made of stained glass.",A Delta Airlines Airbus A380 landing on a sunny morning.,A Singapore Airlines Airbus A380 landing on a rainy morning.,A stained glass style Delta Airlines Airbus A380 landing in front of aurora borealis.,https://www.videvo.net/video/singapore-airbus-a380-landing/4027/
fireworks-display,A colourful fireworks display in the night sky.,"A colourful fireworks display in the night sky, 8-bit pixelated.",A colourful lantern festival in the night sky.,A colourful fireworks display above the city skyline.,"A colourful fireworks display above the city skyline, 8-bit pixelated.",https://www.videvo.net/video/fireworks-display/5358/
seagull-flying,A grey seagull flies in a colorless blue sky. ,"A grey seagull flies in a colorless blue sky, impressionist style.",A tiny airplane flies in a colorless blue sky.,A grey seagull flies in a cloudy sky.,"A white seagull flies in a colorless blue sky, with a cityscape below.",https://www.videvo.net/video/seagull-flying/4047/
aircraft-landing,A Detla Airlines aircraft descends onto the runaway during a cloudless morning.,"A Detla Airlines aircraft descends onto the runaway during a cloudless morning, sepia toned.",A brightly colored cyberpunk aircraft descends onto the runway during a cloudless morning.,A Delta Airlines aircraft descends onto the runway during a cloudy morning.,"A brightly colored cyberpunk aircraft descends onto the runway during a cloudless morning, with a bustling cityscape in the background.",https://www.videvo.net/video/dl-aircraft-landing/4067/
sharks-swimming,Two grey sharks swim in the blue ocean on a coral reef.,Two grey sharks swim in the blue ocean on a coral reef made of stained glass.,Two quadrotor drones swim in the blue ocean on a coral reef.,Two grey sharks swim in the blue ocean near a sandy seabed.,"Two grey sharks swim in the blue ocean on a coral reef, surrounded by various colorful fish.",https://www.videvo.net/video/grey-reef-sharks-on-a-coral-reef/452224/
bird-on-feeder,A brown bird sits on a feeder that is being hung by a red string.,"A brown bird sits on a feeder that is being hung by a red string, watercolor style.",A brown squirrel sits on a feeder that is being hung by a red string.,A brown bird sits on a feeder that is being hung by a red string on a snowy day.,"A brown bird sits on a feeder that is being hung by a red string, surrounded by blooming flowers.",https://www.videvo.net/video/birds-at-feeder/380/
cows-grazing,Three cows graze together in a green pasture.,"Three cows graze together in a green pasture, pointillism style.",Three sheep graze together in a green pasture.,Three cows graze together in a yellow meadow.,"Three sheep graze together in a green pasture, with a picturesque farmhouse in the background.",https://www.videvo.net/video/cows-grazing-in-pasture/3975/
horizontal-match-striking,An extreme close up video of someone striking a matchstick horizontally.,"An extreme close up video of someone striking a matchstick horizontally, neon style.",An extreme close up video of someone striking a lighter horizontally.,An extreme close up video of someone striking a matchstick horizontally against a pool of water.,"An extreme close up video of someone striking a lighter horizontally, with sparks flying off.        ",https://www.videvo.net/video/horizontal-match-strike/3085/
ferris-wheel-timelapse,A time lapsed video of a ferris wheel moving.,"A time lapsed video of a ferris wheel moving, in oil painting style.",A time-lapsed video of a carousel moving.,A time-lapsed video of a ferris wheel moving with a sunset in the background.,A time-lapsed video of a carousel wheel moving with colorful lights at night.,https://www.videvo.net/video/ferris-wheel-timelapse/2996/
butterfly-feeding-slow-motion,A close up slow motion video of a butterfly drinking nectar out of a yellow flower.,"A close up slow motion video of a butterfly drinking nectar out of a yellow flower, anime style.",A close up slow motion video of a bee drinking nectar out of a yellow flower.,A close up slow motion video of a butterfly drinking nectar out of a yellow flower in a lush garden.,"A close up slow motion video of a bee drinking nectar out of a yellow flower, surrounded by other blooming flowers.",https://www.videvo.net/video/butterfly-feeding-in-slow-motion-cc-by-natureclip-2011/2102/
ski-lift-time-lapse,A time lapse video of ski lift chairlifts moving up and down. ,"A time lapse video of ski lift chairlifts moving up and down, crayon style.",A time lapse video of gondola lifts moving up and down.,A time lapse video of ski lift chairlifts moving up and down with a desolate desert background.,A time lapse video of gondola lift chairlifts moving up and down during a snowstorm.,https://www.videvo.net/video/ski-lift-1/2196/
ship-sailing,A ship sails on the sea during sunset. ,"A ship sails on the sea during sunset, 2D vector art.",A toy sailboat sails on the sea during sunset.,A ship sails on the the lunar surface during sunset.,A toy sailboat sails on the sea during sunset with a dramatic sky full of colorful clouds.        ,https://www.videvo.net/video/ship-sailing/4113/
deer-eating-leaves,A brown deer eats leaves next to a green field.,"A brown deer eats leaves next to a green field, grey scaled.",A brown deer eats watermelons next to a green field.,A brown deer eats leaves in an office.,A brown deer eats watermelons next to a green field with a small stream flowing nearby.,https://www.videvo.net/video/deer-eating-leaves-by-creek/4929/
boxer-punching-towards-camera,A boxer wearing black boxing gloves punches towards the camera.,"A boxer wearing black boxing gloves punches towards the camera, watercolor style.",A kickboxer wearing black gloves kicks towards the camera.,A boxer wearing black boxing gloves punches towards the camera in a boxing ring.,"A boxer wearing orange boxing gloves punches towards the camera, surrounded by cheering fans in a boxing arena.        ",https://www.videvo.net/video/boxer-punching-towards-camera/393640/
sunset-beach-yoga,A woman does yoga on the beach during sunset.,"A woman does yoga on the beach during sunset, pointillism style.",A panda does yoga on the beach during sunset.,A woman does yoga next to a hotel swimming pool.,A panda bear does yoga next to a hotel swimming pool.,https://www.videvo.net/video/sunset-beach-yoga/4135/
airplane-and-contrail,An airplane flies through the blue sky leaving a contrail behind it.,"An airplane flies through the blue sky leaving a contrail behind it, sepia toned.",A helicopter flies through the blue sky leaving a contrail behind it.,An airplane flies over the Taj Mahal leaving a contrail behind it.,"An airplane flies through the pink sky leaving a contrail behind it, with a flock of birds in the distance.",https://www.videvo.net/video/airplane-and-contrail/3902/
wind-turbines-at-dusk,Wind turbines spin during dusk.,"Wind turbines spin during dusk, origami style.",Solar panels spin during dusk.,Wind turbines spin in an office surrounded by cubicles.,Solar panels spin during dusk with a colorful sky in the background.,https://www.videvo.net/video/wind-turbines-at-dusk/4087/
street-artist-painting,A street artist uses brown paint to paint a picture of a woman.,"A street artist uses brown paint to paint a picture of a woman, anime style.",A street artist uses brown paint to paint a picture of a tortoise.,A street artist uses brown paint to paint a picture of a woman in a park.,"A street artist uses brown paint to paint a picture of a man near a fountain, anime style.",https://www.videvo.net/video/santa-monica-street-artist/2798/
dj-mixing-music,A closeup video of a DJ mixing music on a soundboard.,"A closeup video of a DJ mixing music on a soundboard, pixelated.",A closeup video of a DJ scratching vinyl records.,A closeup video of a DJ mixing music on a soundboard in a fancy living room.,A closeup video of a DJ scratching vinyl records at a beach party.,https://www.videvo.net/video/dj-mixing-music/2562/
american-flag-in-wind,An American flag on a flagpole moves in the wind.,"An American flag on a flagpole moves in the wind, expressionist style.",A Canadian flag on a flagpole moves in the wind.,An American flag on a flagpole moves in the wind with mountains in the background.,An Canadian flag on a flagpole moves in the wind at a beach.,https://www.videvo.net/video/american-flag-in-the-wind/445/
sunset-swinging,A woman swings on a rope next to an ocean during sunset.,"A woman swings on a rope next to an ocean during sunset, vintage style.",A woman swings on a rope next to a snow covered road during sunset.,A woman swings on a rope under a flying saucer during sunset.,"A woman swings on a rope under a flying saucer during sunset, vintage style.",https://www.videvo.net/video/sunset-swinging/4138/
pouring-beer-from-bottle,A bottle of beer is poured into a glass.,"A bottle of beer is poured into a glass, claymation style.",A bottle of wine is poured into a goblet.,A bottle of beer is poured into a glass near a treehouse.,"A bottle of wine is poured into a glass at a party, claymation style.",https://www.videvo.net/video/pouring-beer-from-bottle/4735/